Code,Site,Cat,,,,
13185000,BOISE RIVER NR TWIN SPRINGS ID ,Natural,,,,
13186000,SF BOISE RIVER NR FEATHERVILLE ID ,Natural,,,,
13190500,SF BOISE RIVER AT ANDERSON RANCH DAM ID ,Managed,0,,,
13192200,SF BOISE RIVER AT NEAL BRIDGE NR ARROWROCK DAM ID ,Managed,0,,,
13200000,MORES CREEK AB ROBIE CREEK NR ARROWROCK DAM ID ,Natural,,,,
13204640,COTTONWOOD CREEK BEL FIVEMILE CR NR BOISE ID ,Natural,,,,
13206000,BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ,Managed,1,,,
13206400,"EAGLE DRAIN AT EAGLE, ID ",Drain,,,,
13210007,BOISE RIVER AT STAR BRIDGE NEAR STAR ID,Managed,2,,,
13210050,BOISE RIVER NR MIDDLETON ID,Managed,3,,,
13210810,"FIFTEENMILE CREEK NR MIDLAND BLVD NR MIDDLETON, ID ",Drainish,,,,
13210815,FIFTEENMILE CREEK AT MOUTH NR MIDDLETON ID,Drainish,,,,
13210824,N MIDDLETON DRAIN (MILL SLOUGH) AT MIDDLETON ID ,Drain,,,,
13210831,SOUTH MIDDLETON DRAIN AT MIDDLETON ID ,Drain,,,,
13210980,MASON CREEK AT CALDWELL ID ,Drainish,,,,
13210986,W HARTLEY GULCH NR CALDWELL ID ,Drainish,,,,
132109867,"EAST HARTLEY ABV BACKWATER NR CALDWELL, ID ",Drainish,,,,
13211205,"BOISE RIVER AT CALDWELL, ID ",Managed,4,,,
13212549,"CONWAY GULCH BELOW 1ST ST AT NOTUS, ID ",Drainish,,,,
13213000,BOISE RIVER NR PARMA ID ,Managed,5,,,
13213072,SAND RUN GULCH NR PARMA ID ,Drainish,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
13212890, DIXIE DRAIN NR WILDER ID ,Drain,,,,
,,,,,,
